split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p10,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk_q95,train_selection_risk_max
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,aggregate_only_sync,confidence,300,60,5,0.00713490196078425,0.012861287018066624,0.017557993394249682,0.019170862251783,0.5966666666666667,1.0,1.0,0.33999999999999997,0.0,0.33999999999999997,26175.0,13200.0,0.017557993394249682,0.019170862251783
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.00713490196078425,0.012861287018066624,0.017557993394249682,0.019170862251783,0.5966666666666667,1.0,1.0,0.33999999999999997,0.0,0.33999999999999997,26175.0,13200.0,0.017557993394249682,0.019170862251783
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,aggregate_only_sync,uniform,300,60,5,0.00713490196078425,0.012861287018066624,0.017557993394249682,0.019170862251783,0.5966666666666667,1.0,1.0,0.33999999999999997,0.0,0.33999999999999997,26175.0,13200.0,0.017557993394249682,0.019170862251783
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.007010406461547325,0.012868053972399974,0.0170230428540747,0.0185891565635892,0.5966666666666667,1.0,1.0,0.33999999999999997,0.0,0.33999999999999997,26125.0,13200.0,0.0170230428540747,0.0185891565635892
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.00713490196078425,0.012861287018066624,0.01774203436226104,0.0193583076396025,0.5966666666666667,1.0,1.0,0.33999999999999997,0.0,0.33999999999999997,26125.0,13200.0,0.01774203436226104,0.0193583076396025
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.00713490196078425,0.012861287018066624,0.017697648594541992,0.0193583076396025,0.5966666666666667,1.0,1.0,0.33999999999999997,0.0,0.33999999999999997,26125.0,13200.0,0.017697648594541992,0.0193583076396025
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,local_only_offline_aggregate,confidence,300,60,5,0.0023773002672932,0.008122806649147987,0.01362072556162716,0.0185455089820359,0.8366666666666667,1.0,1.0,0.01906249999999995,0.0,0.0,40000.0,20000.0,0.01362072556162716,0.0185455089820359
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,local_only_offline_aggregate,shot_proportional,300,60,5,0.0022002394499129,0.008044653261771662,0.013614555035128791,0.0185455089820359,0.8333333333333334,1.0,1.0,0.01906249999999995,0.0,0.0,40000.0,20000.0,0.013614555035128791,0.0185455089820359
stratified_size_rep000,stratified_size,0,b50_lb10_k10_eps0p005,local_only_offline_aggregate,uniform,300,60,5,0.0022683158019671003,0.008173890655982487,0.01362072556162716,0.0185455089820359,0.8366666666666667,1.0,1.0,0.01906249999999995,0.0,0.0,40000.0,20000.0,0.01362072556162716,0.0185455089820359
stratified_size_rep000,stratified_size,0,b50_lb10_k1_eps0p001,aggregate_only_sync,confidence,300,60,5,0.0,0.001648473837209225,0.004480222248867348,0.0077076300578034,1.0,1.0,1.0,0.0,0.0,0.0,42600.0,20000.0,0.004480222248867348,0.0077076300578034
