policy,scheme,repetitions,median_test_median_tvd,q75_test_median_tvd,median_test_q95_tvd,median_test_size_robust_risk,median_test_max_tvd,median_test_valid_rate_tvd_le_0p05,median_test_median_ssr,median_test_median_parallel_ssr,relaxed_selection_rate
aggregate_only_sync,confidence,100,0.022830610461575876,0.0244409152173465,0.03727246505042466,0.04526860880110794,0.0455602973977697,1.0,0.73375,0.73375,0.0
aggregate_only_sync,shot_proportional,100,0.022830610461575876,0.0244409152173465,0.03727246505042466,0.04526860880110794,0.0455602973977697,1.0,0.73375,0.73375,0.0
aggregate_only_sync,uniform,100,0.022830610461575876,0.0244409152173465,0.03727246505042466,0.04526860880110794,0.0455602973977697,1.0,0.73375,0.73375,0.0
hierarchical_local_aggregate,confidence,100,0.02235216684522465,0.0242553551899441,0.03700779913023783,0.04312903638272756,0.0446777777777773,1.0,0.73375,0.73375,0.0
hierarchical_local_aggregate,shot_proportional,100,0.022975990896358475,0.02458723363774725,0.03830122892058643,0.04532460997208714,0.0455602973977697,1.0,0.73375,0.73375,0.0
hierarchical_local_aggregate,uniform,100,0.022975990896358475,0.02458723363774725,0.03830122892058643,0.04532460997208714,0.0455602973977697,1.0,0.73375,0.73375,0.0
local_only_offline_aggregate,confidence,100,0.0152112972885404,0.017243739743618838,0.033981117602430104,0.04435971205873126,0.04670707998469125,1.0,0.6103124999999999,0.570625,0.0
local_only_offline_aggregate,shot_proportional,100,0.01552095572813185,0.01773982557599596,0.03464483737901808,0.044596885398622735,0.04670707998469125,1.0,0.61859375,0.580625,0.0
local_only_offline_aggregate,uniform,100,0.0151742657512207,0.017191227151320626,0.03397915074007607,0.04436498792681631,0.04670707998469125,1.0,0.6103124999999999,0.570625,0.0
