k,aggregate_only_sync,aggregate_only_sync,aggregate_only_sync,hierarchical_local_aggregate,hierarchical_local_aggregate,hierarchical_local_aggregate,local_only_offline_aggregate,local_only_offline_aggregate,local_only_offline_aggregate
,confidence,shot_proportional,uniform,confidence,shot_proportional,uniform,confidence,shot_proportional,uniform
1,0.018715845070422565,0.018715845070422565,0.018715845070422565,0.018715845070422565,0.018715845070422565,0.018715845070422565,0.018715845070422565,0.018715845070422565,0.018715845070422565
2,0.019424264705882335,0.019424264705882335,0.019424264705882335,0.0194766381337897,0.01953095238095237,0.019520488721804494,0.013990850393204978,0.013894040388703309,0.013875987914409145
3,0.01863255451713398,0.01863255451713398,0.01863255451713398,0.018647609461414978,0.018775930585510015,0.018775930585510015,0.01190987959273964,0.01186696984311869,0.011802477097442796
4,0.01938614130434782,0.01938614130434782,0.01938614130434782,0.01932628828471397,0.01938614130434782,0.01938614130434782,0.010721489852370189,0.010606294454689112,0.01055399581244635
5,0.019063840579710202,0.019063840579710202,0.019063840579710202,0.018314426592433194,0.019063840579710202,0.019063840579710202,0.010177572615076602,0.009974251047117865,0.010120824838062158
