policy,scheme,k,bootstrap_unit,bootstrap_reps,row_experiments,circuit_configs,subset_rows_per_circuit_min,subset_rows_per_circuit_median,subset_rows_per_circuit_max,row_level_median_tvd,median_tvd,median_tvd_ci_low,median_tvd_ci_high,q25_tvd,q75_tvd,row_level_median_ssr,median_ssr,median_ssr_ci_low,median_ssr_ci_high,q25_ssr,q75_ssr,row_level_median_parallel_ssr,median_parallel_ssr,median_parallel_ssr_ci_low,median_parallel_ssr_ci_high,non_independence_correction
aggregate_only_sync,uniform,1,circuit_key,2000,360,72,5,5.0,5,0.018715845070422565,0.018499054025646423,0.012983333333333362,0.023150877192982425,0.0,0.0265247357293869,0.5462499999999999,0.5375000000000001,0.20840625000000002,0.69625,0.0,0.78125,0.5462499999999999,0.5375000000000001,0.1775,0.6975,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
aggregate_only_sync,uniform,2,circuit_key,2000,720,72,10,10.0,10,0.019424264705882335,0.020152406804500554,0.014360119047619052,0.021997785234385274,0.0,0.025636601982994833,0.655,0.6575,0.44346874999999997,0.77375,0.0,0.8309375,0.655,0.6575,0.44375,0.7725,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
aggregate_only_sync,uniform,3,circuit_key,2000,720,72,10,10.0,10,0.01863255451713398,0.01905197899463785,0.014873173261449367,0.022262027049187776,0.006225135968092816,0.024979707198312547,0.7025,0.7050000000000001,0.5225,0.8075,0.10375000000000001,0.8615625,0.7025,0.7050000000000001,0.54125,0.8000937499999995,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
aggregate_only_sync,uniform,4,circuit_key,2000,360,72,5,5.0,5,0.01938614130434782,0.019487831366662,0.014812500000000015,0.02218987104185069,0.0061260416666666555,0.024651450465876835,0.74,0.75125,0.5767500000000001,0.81875,0.224375,0.8781249999999999,0.74,0.75125,0.5775,0.8225,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
aggregate_only_sync,uniform,5,circuit_key,2000,72,72,1,1.0,1,0.019063840579710202,0.019063840579710202,0.01426333333333332,0.021204871794871794,0.008871314304680761,0.02524892043751874,0.76625,0.76625,0.6174999999999999,0.83375,0.285,0.88125,0.76625,0.76625,0.6174999999999999,0.83375,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
hierarchical_local_aggregate,confidence,1,circuit_key,2000,360,72,5,5.0,5,0.018715845070422565,0.018499054025646423,0.012983333333333362,0.023150877192982425,0.0,0.0265247357293869,0.5462499999999999,0.5375000000000001,0.22749999999999998,0.6975,0.0,0.78125,0.5462499999999999,0.5375000000000001,0.20875,0.6962812499999999,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
hierarchical_local_aggregate,confidence,2,circuit_key,2000,720,72,10,10.0,10,0.0194766381337897,0.020201170585345235,0.014571046868205175,0.022373153364595198,0.0,0.025646159917607443,0.655,0.6575,0.44375,0.775625,0.0,0.83328125,0.655,0.6575,0.4325,0.7718906249999999,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
hierarchical_local_aggregate,confidence,3,circuit_key,2000,720,72,10,10.0,10,0.018647609461414978,0.0186693918386622,0.014151502307452678,0.021453559988252612,0.006943292127869572,0.025198632709910233,0.7050000000000001,0.7075,0.5225,0.8049999999999999,0.10375000000000001,0.8615625,0.7025,0.7050000000000001,0.5225,0.80375,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
hierarchical_local_aggregate,confidence,4,circuit_key,2000,360,72,5,5.0,5,0.01932628828471397,0.019633265105576676,0.014111143331871814,0.02112754318976897,0.007509031157555539,0.0246667879314244,0.74,0.75125,0.58875,0.81875,0.224375,0.8781249999999999,0.74,0.75125,0.5775,0.8188437499999994,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
hierarchical_local_aggregate,confidence,5,circuit_key,2000,72,72,1,1.0,1,0.018314426592433194,0.018314426592433194,0.014394080094533274,0.02068312072482434,0.008631171448068874,0.024634753792229173,0.76625,0.76625,0.6174999999999999,0.8337812499999998,0.285,0.88125,0.76625,0.76625,0.645,0.83375,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
hierarchical_local_aggregate,shot_proportional,1,circuit_key,2000,360,72,5,5.0,5,0.018715845070422565,0.018499054025646423,0.013435317460317467,0.023150877192982425,0.0,0.0265247357293869,0.5462499999999999,0.5375000000000001,0.20875,0.69625,0.0,0.78125,0.5462499999999999,0.5375000000000001,0.24,0.69625,"Subsets are collapsed within each circuit before bootstrapping; CIs resample circuit_key-level medians, not overlapping subset rows."
