split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p10,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk_q95,train_selection_risk_max,selected_config_id,selection_relaxed,selection_target_tvd,selection_risk_stat,selection_objective,selection_risk_value
stratified_size_rep001,stratified_size,1,b50_lb2_k2_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.0284766808552856,0.03341060196880202,0.04832587693903387,0.0696749999999962,0.09666666666666666,0.9533333333333334,1.0,0.755625,0.2215625,0.755625,13100.0,4887.5,0.04832587693903387,0.0696749999999962,b50_lb2_k2_eps0p005,False,0.05,q95,max_ssr,0.04832587693903387
stratified_size_rep001,stratified_size,1,b50_lb2_k2_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.028789111405835302,0.03346837176873368,0.049229670071421,0.0696749999999962,0.1,0.9533333333333334,1.0,0.755625,0.2215625,0.755625,13100.0,4887.5,0.049229670071421,0.0696749999999962,b50_lb2_k2_eps0p005,False,0.05,q95,max_ssr,0.049229670071421
stratified_size_rep001,stratified_size,1,b50_lb2_k2_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.02873973426659555,0.03346837176873368,0.049229670071421,0.0696749999999962,0.1,0.9533333333333334,1.0,0.755625,0.2215625,0.755625,13100.0,4887.5,0.049229670071421,0.0696749999999962,b50_lb2_k2_eps0p005,False,0.05,q95,max_ssr,0.049229670071421
stratified_size_rep001,stratified_size,1,b50_lb2_k1_eps0p005,local_only_offline_aggregate,confidence,300,60,5,0.019319588016111975,0.027013689356503674,0.04400228314119935,0.0730554794520526,0.15333333333333332,0.97,1.0,0.6395833333333334,0.12187500000000001,0.6225,17375.0,7550.0,0.04400228314119935,0.0730554794520526,b50_lb2_k1_eps0p005,False,0.05,q95,max_ssr,0.04400228314119935
stratified_size_rep001,stratified_size,1,b50_lb2_k1_eps0p005,local_only_offline_aggregate,shot_proportional,300,60,5,0.019358259082545175,0.0274706038694305,0.043885467814558515,0.0730554794520526,0.15333333333333332,0.97,1.0,0.6395833333333334,0.12187500000000001,0.6225,17375.0,7550.0,0.043885467814558515,0.0730554794520526,b50_lb2_k1_eps0p005,False,0.05,q95,max_ssr,0.043885467814558515
stratified_size_rep001,stratified_size,1,b50_lb2_k1_eps0p005,local_only_offline_aggregate,uniform,300,60,5,0.019442073856018677,0.026957808026945574,0.044001641001768566,0.0730554794520526,0.15333333333333332,0.97,1.0,0.6395833333333334,0.12187500000000001,0.6225,17375.0,7550.0,0.044001641001768566,0.0730554794520526,b50_lb2_k1_eps0p005,False,0.05,q95,max_ssr,0.044001641001768566
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,300,60,5,0.022878588935574172,0.029203464348334325,0.03836130104330166,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.17812499999999998,0.765,13475.0,4700.0,0.03836130104330166,0.0487676470588226,b50_lb3_k1_eps0p005,False,0.05,q95,max_ssr,0.03836130104330166
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.022878588935574172,0.029203464348334325,0.03836130104330166,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.17812499999999998,0.765,13475.0,4700.0,0.03836130104330166,0.0487676470588226,b50_lb3_k1_eps0p005,False,0.05,q95,max_ssr,0.03836130104330166
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,aggregate_only_sync,uniform,300,60,5,0.022878588935574172,0.029203464348334325,0.03836130104330166,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.17812499999999998,0.765,13475.0,4700.0,0.03836130104330166,0.0487676470588226,b50_lb3_k1_eps0p005,False,0.05,q95,max_ssr,0.03836130104330166
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.02284946612619715,0.02884909256895539,0.03798169470155803,0.0487676470588226,0.24,1.0,1.0,0.765,0.18046874999999996,0.765,12850.0,4700.0,0.03798169470155803,0.0487676470588226,b50_lb3_k1_eps0p005,False,0.05,q95,max_ssr,0.03798169470155803
