circuit_key,algorithm,size,circuit_kind,strategy,fixed_budget,scheme,k,subset_key,backends,backend_labels,weights,shots_total,reference_shots_total,shots_saved,ssr,parallel_ssr,tvd,diversity_global,diversity_on_circuit
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],5000,20000,15000,0.75,0.75,0.028650000000000078,,
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],10000,20000,10000,0.5,0.5,0.014200000000000051,,
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],15000,20000,5000,0.25,0.25,0.008150000000000008,,
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],18000,20000,2000,0.09999999999999998,0.09999999999999998,0.00478888888888891,,
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.03919999999999995,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.025324999999999914,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.017424999999999954,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.010375000000000044,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.0061750000000001,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.00313055555555561,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.030049999999999976,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.020724999999999945,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.012100000000000027,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.006875000000000006,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.00384999999999999,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.0018972222222221934,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.032074999999999916,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.02494999999999989,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.01677499999999994,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.008775000000000057,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.0053166666666667394,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.0027527777777777815,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.0354249999999999,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.027224999999999985,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.01619999999999997,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.008775000000000028,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.005025000000000027,0.15611666666666663,0.09539999999999987
