policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_mean_tvd,circuit_max_tvd,circuit_median_ssr,circuit_mean_ssr,circuit_median_parallel_ssr,circuit_mean_parallel_ssr,subset_rows,subsets
local_only_offline_aggregate,confidence,2,qft_8_circuit,qft,8,circuit,0.013462634418082535,0.013354138646536905,0.01405770706968526,0.14687499999999998,0.14750000000000002,0.14,0.13849999999999998,10,10
local_only_offline_aggregate,confidence,2,qft_9_circuit,qft,9,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_10_circuit,qnn,10,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_11_circuit,qnn,11,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_12_circuit,qnn,12,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_13_circuit,qnn,13,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_14_circuit,qnn,14,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_15_circuit,qnn,15,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,qnn_4_circuit,qnn,4,circuit,0.01575151062537428,0.01488339336965934,0.0181550661653659,0.8106249999999999,0.8135,0.785,0.79775,10,10
local_only_offline_aggregate,confidence,2,qnn_5_circuit,qnn,5,circuit,0.01766614802689139,0.017229965303294185,0.022415417713152003,0.7237499999999999,0.7234999999999999,0.71,0.7105,10,10
local_only_offline_aggregate,confidence,2,qnn_6_circuit,qnn,6,circuit,0.017345779700778434,0.017301536841301614,0.01949760789538045,0.6275,0.627,0.6174999999999999,0.6125,10,10
local_only_offline_aggregate,confidence,2,qnn_7_circuit,qnn,7,circuit,0.017980975663425287,0.017981382491652605,0.018893604822916115,0.435625,0.4325,0.4275,0.41850000000000004,10,10
local_only_offline_aggregate,confidence,2,qnn_8_circuit,qnn,8,circuit,0.01773697904352024,0.017769343090032537,0.019333717211556276,0.27375,0.27,0.26249999999999996,0.25349999999999995,10,10
local_only_offline_aggregate,confidence,2,qnn_9_circuit,qnn,9,circuit,0.0062521682941750235,0.004952069270135374,0.009109017002847632,0.018750000000000044,0.020000000000000018,0.0,0.0037499999999999977,10,10
local_only_offline_aggregate,confidence,2,random_10_circuit,random,10,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,random_11_circuit,random,11,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,random_12_circuit,random,12,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,random_13_circuit,random,13,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,random_14_circuit,random,14,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,random_15_circuit,random,15,circuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
local_only_offline_aggregate,confidence,2,random_4_circuit,random,4,circuit,0.010982892019252566,0.011213699850025873,0.01786333513659714,0.83875,0.8320000000000001,0.8375,0.8150000000000001,10,10
local_only_offline_aggregate,confidence,2,random_5_circuit,random,5,circuit,0.013721926721202,0.014178440239136858,0.017727632537186774,0.7793749999999999,0.778,0.765,0.756,10,10
local_only_offline_aggregate,confidence,2,random_6_circuit,random,6,circuit,0.017861907970651784,0.017899332873679473,0.01997054096057901,0.623125,0.6224999999999999,0.6125,0.61,10,10
local_only_offline_aggregate,confidence,2,random_7_circuit,random,7,circuit,0.01812416593238234,0.0183109930569458,0.021235648988540794,0.46875,0.4734999999999999,0.4475,0.44700000000000006,10,10
local_only_offline_aggregate,confidence,2,random_8_circuit,random,8,circuit,0.016034080998825542,0.016235075117243834,0.019175319916974666,0.25375000000000003,0.2525,0.18000000000000005,0.19375000000000003,10,10
local_only_offline_aggregate,confidence,2,random_9_circuit,random,9,circuit,0.00835137507822841,0.0065380027278746046,0.01246609465321198,0.036250000000000004,0.03500000000000001,0.0,0.007250000000000001,10,10
