policy,scheme,repetitions,median_test_median_tvd,q75_test_median_tvd,median_test_q95_tvd,median_test_max_tvd,median_test_valid_rate_tvd_le_0p05,median_test_median_ssr,median_test_median_parallel_ssr,relaxed_selection_rate
aggregate_only_sync,confidence,100,0.02291712823635985,0.024028249968676637,0.04639417163820733,0.05451875499764257,0.9666666666666667,0.725,0.725,0.0
aggregate_only_sync,shot_proportional,100,0.02291712823635985,0.024028249968676637,0.04639417163820733,0.05451875499764257,0.9666666666666667,0.725,0.725,0.0
aggregate_only_sync,uniform,100,0.02291712823635985,0.024028249968676637,0.04639417163820733,0.05451875499764257,0.9666666666666667,0.725,0.725,0.0
hierarchical_local_aggregate,confidence,100,0.022902221293208496,0.02375755429599737,0.04609932107685175,0.05435758058627605,0.9666666666666667,0.725,0.725,0.0
hierarchical_local_aggregate,shot_proportional,100,0.023033077985996193,0.024028249968676637,0.04668947932816495,0.05451875499764257,0.9666666666666667,0.725,0.725,0.0
hierarchical_local_aggregate,uniform,100,0.02305239933453647,0.024028249968676637,0.04639417163820733,0.05451875499764257,0.9666666666666667,0.725,0.725,0.0
local_only_offline_aggregate,confidence,100,0.01594550738543032,0.01756306787927476,0.03739884327259862,0.05186119402985079,0.9833333333333333,0.5604687500000001,0.53,0.0
local_only_offline_aggregate,shot_proportional,100,0.016185889391131178,0.01762498157471775,0.037812507979062944,0.05186119402985079,0.9833333333333333,0.5604687500000001,0.53,0.0
local_only_offline_aggregate,uniform,100,0.0160908347696211,0.017574174685714237,0.0374042393138801,0.05186119402985079,0.9833333333333333,0.5604687500000001,0.53,0.0
