trace_id,circuit_key,algorithm,size,backend,circuit_kind,reference_shots,source_batch_size,sampling_strategy,sampling_seed,qsimbench_materialization_time_seconds,strategy_family,strategy,config_id,shots,tvd_to_reference,saving_vs_reference,stop_reason,last_stability_tvd,checks_performed,strategy_eval_time_seconds,batch_size,lookback_batches,stability,epsilon
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,fixed,fixed_1000,,1000,0.37609999999999794,0.95,fixed_budget,,0,0.00027973949909210205,,,,
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,fixed,fixed_2500,,2500,0.22754999999999861,0.875,fixed_budget,,0,0.0006478456780314445,,,,
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,fixed,fixed_5000,,5000,0.14124999999999935,0.75,fixed_budget,,0,0.0012542735785245895,,,,
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,fixed,fixed_10000,,10000,0.08619999999999965,0.5,fixed_budget,,0,0.002582147717475891,,,,
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,fixed,fixed_15000,,15000,0.046550000000000015,0.25,fixed_budget,,0,0.003722316585481167,,,,
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,fixed,fixed_18000,,18000,0.02819444444444465,0.09999999999999998,fixed_budget,,0,0.004260093905031681,,,,
qnn_10_fake_fez,qnn_10_circuit,qnn,10,fake_fez,circuit,20000,50,sequential,0,2.648418489843607,stable_shots,stable_shots_b50_lb3_k5_eps0p005,b50_lb3_k5_eps0p005,20000,0.0,0.0,max_budget,0.005934256926952114,397,0.17133706901222467,50.0,3.0,5.0,0.005
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,fixed,fixed_1000,,1000,0.39575000000000027,0.95,fixed_budget,,0,0.0002766633406281471,,,,
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,fixed,fixed_2500,,2500,0.22979999999999914,0.875,fixed_budget,,0,0.0006497194990515709,,,,
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,fixed,fixed_5000,,5000,0.15674999999999947,0.75,fixed_budget,,0,0.0012471210211515427,,,,
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,fixed,fixed_10000,,10000,0.0915999999999998,0.5,fixed_budget,,0,0.002510271966457367,,,,
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,fixed,fixed_15000,,15000,0.05339999999999994,0.25,fixed_budget,,0,0.007528621703386307,,,,
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,fixed,fixed_18000,,18000,0.030683333333333476,0.09999999999999998,fixed_budget,,0,0.009208111092448235,,,,
qnn_10_fake_kyiv,qnn_10_circuit,qnn,10,fake_kyiv,circuit,20000,50,sequential,0,2.5827565165236592,stable_shots,stable_shots_b50_lb3_k5_eps0p005,b50_lb3_k5_eps0p005,20000,0.0,0.0,max_budget,0.006388413098236767,397,0.15938521549105644,50.0,3.0,5.0,0.005
qnn_10_fake_marrakesh,qnn_10_circuit,qnn,10,fake_marrakesh,circuit,20000,50,sequential,0,2.389611807651818,fixed,fixed_1000,,1000,0.36679999999999685,0.95,fixed_budget,,0,0.0002666749060153961,,,,
qnn_10_fake_marrakesh,qnn_10_circuit,qnn,10,fake_marrakesh,circuit,20000,50,sequential,0,2.389611807651818,fixed,fixed_2500,,2500,0.21999999999999864,0.875,fixed_budget,,0,0.0006254445761442184,,,,
