config_id,policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_q95_tvd,circuit_max_tvd,circuit_median_ssr,circuit_median_parallel_ssr,circuit_median_total_shots,circuit_median_max_backend_shots,subset_rows
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_10_circuit,dj,10,circuit,0.023090476190476182,0.02846538633818599,0.02855212765957458,0.765,0.765,4700.0,4700.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_11_circuit,dj,11,circuit,0.027365217391304406,0.03177547866547869,0.03194009009009008,0.7725,0.7725,4550.0,4550.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_12_circuit,dj,12,circuit,0.030169834710743852,0.030851038135593374,0.03094661016949169,0.7050000000000001,0.7050000000000001,5900.0,5900.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_13_circuit,dj,13,circuit,0.03256016949152551,0.03986286445012769,0.041606521739130216,0.7125,0.7125,5750.0,5750.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_14_circuit,dj,14,circuit,0.037943790849673004,0.03923897637795243,0.03949999999999969,0.6825,0.6825,6350.0,6350.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_15_circuit,dj,15,circuit,0.03563205128205095,0.04245025208288769,0.04245596026490009,0.6225,0.6225,7550.0,7550.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_4_circuit,dj,4,circuit,0.00602424242424243,0.007765151515151498,0.008083333333333309,0.925,0.925,1500.0,1500.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_5_circuit,dj,5,circuit,0.008494117647058808,0.011195652173913054,0.011569565217391314,0.915,0.915,1700.0,1700.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_6_circuit,dj,6,circuit,0.011323684210526314,0.014543654475170963,0.015053508771929805,0.8575,0.8575,2850.0,2850.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_7_circuit,dj,7,circuit,0.015421428571428593,0.018329215686274523,0.018816666666666686,0.86,0.86,2800.0,2800.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_8_circuit,dj,8,circuit,0.017245205479452082,0.02313259740259742,0.023353246753246765,0.8175,0.8175,3650.0,3650.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,dj_9_circuit,dj,9,circuit,0.01975000000000003,0.02470777777777781,0.025066666666666702,0.81,0.81,3800.0,3800.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,qaoa_10_circuit,qaoa,10,circuit,0.026081055900620993,0.032935149298717936,0.03422013422818786,0.16500000000000004,0.16500000000000004,16700.0,16700.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,qaoa_11_circuit,qaoa,11,circuit,0.02227811634349044,0.030862630344646483,0.03132515337423315,0.09750000000000003,0.09750000000000003,18050.0,18050.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,qaoa_12_circuit,qaoa,12,circuit,0.0,0.03217272591198685,0.03284029850746189,0.0,0.0,20000.0,20000.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,qaoa_13_circuit,qaoa,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,qaoa_14_circuit,qaoa,14,circuit,0.0,0.027163586672238556,0.027584593837535823,0.0,0.0,20000.0,20000.0,5
b50_lb3_k10_eps0p005,aggregate_only_sync,confidence,1,qaoa_15_circuit,qaoa,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
