config_id,policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_q95_tvd,circuit_max_tvd,circuit_median_ssr,circuit_median_parallel_ssr,circuit_median_total_shots,circuit_median_max_backend_shots,subset_rows
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_10_circuit,dj,10,circuit,0.020927777777777757,0.027205774647887388,0.028650000000000075,0.75,0.75,5000.0,5000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_11_circuit,dj,11,circuit,0.020564450867052032,0.02461703842549206,0.024654545454545488,0.6699999999999999,0.6699999999999999,6600.0,6600.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_12_circuit,dj,12,circuit,0.024333132530120514,0.025861637519872818,0.026179411764705895,0.585,0.585,8300.0,8300.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_13_circuit,dj,13,circuit,0.02404278350515467,0.03382024952575509,0.03501168831168823,0.615,0.615,7700.0,7700.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_14_circuit,dj,14,circuit,0.026281914893617118,0.027618705501618285,0.027715048543689527,0.5125,0.5125,9750.0,9750.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_15_circuit,dj,15,circuit,0.02688115942029006,0.029350701754386335,0.029583333333333756,0.43000000000000005,0.43000000000000005,11400.0,11400.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_4_circuit,dj,4,circuit,0.007768421052631567,0.0156541414141414,0.016795454545454534,0.9675,0.9675,650.0,650.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_5_circuit,dj,5,circuit,0.009516216216216195,0.012381764705882377,0.01256470588235297,0.925,0.925,1500.0,1500.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_6_circuit,dj,6,circuit,0.012819230769230751,0.014632807017543843,0.015053508771929805,0.87,0.87,2600.0,2600.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_7_circuit,dj,7,circuit,0.013005555555555534,0.018889722222222228,0.01987777777777779,0.84,0.84,3200.0,3200.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_8_circuit,dj,8,circuit,0.01844482758620693,0.022164688892850812,0.022938607594936742,0.8225,0.8225,3550.0,3550.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,dj_9_circuit,dj,9,circuit,0.01997241379310346,0.021052051282051315,0.021219230769230813,0.7324999999999999,0.7324999999999999,5350.0,5350.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_10_circuit,qaoa,10,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_11_circuit,qaoa,11,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_12_circuit,qaoa,12,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_13_circuit,qaoa,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_14_circuit,qaoa,14,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_15_circuit,qaoa,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_4_circuit,qaoa,4,circuit,0.013834482758620675,0.0254963157894737,0.02725000000000002,0.8575,0.8575,2850.0,2850.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_5_circuit,qaoa,5,circuit,0.017660000000000002,0.022360730911069455,0.022636974789915956,0.6699999999999999,0.6699999999999999,6600.0,6600.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_6_circuit,qaoa,6,circuit,0.017648484848484847,0.02003192827315157,0.020558695652173928,0.5225,0.5225,9550.0,9550.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_7_circuit,qaoa,7,circuit,0.014183333333333315,0.016929967679379453,0.01701098901098902,0.27,0.27,14600.0,14600.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_8_circuit,qaoa,8,circuit,0.00994196675900278,0.01869375433726579,0.01981946564885497,0.09750000000000003,0.09750000000000003,18050.0,18050.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qaoa_9_circuit,qaoa,9,circuit,0.0,0.005804965938454319,0.0064120155038759775,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_10_circuit,qft,10,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_11_circuit,qft,11,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_12_circuit,qft,12,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_13_circuit,qft,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_14_circuit,qft,14,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_15_circuit,qft,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_4_circuit,qft,4,circuit,0.017323809523809512,0.024474763135228256,0.026074074074074083,0.72,0.72,5600.0,5600.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_5_circuit,qft,5,circuit,0.018099999999999995,0.01969454986822028,0.01978827160493827,0.56,0.56,8800.0,8800.0,5
b50_lb3_k1_eps0p0025,aggregate_only_sync,confidence,1,qft_6_circuit,qft,6,circuit,0.015948154981549816,0.01745882670992159,0.017736496350364953,0.3225,0.3225,13550.0,13550.0,5
