config_id,policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_q95_tvd,circuit_max_tvd,circuit_median_ssr,circuit_median_parallel_ssr,circuit_median_total_shots,circuit_median_max_backend_shots,subset_rows
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_10_circuit,dj,10,circuit,0.014815306122448968,0.019402180158611466,0.01984693251533749,0.5925,0.5925,8150.0,8150.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_11_circuit,dj,11,circuit,0.017260386473430006,0.02278180516651106,0.023904901960784326,0.53,0.53,9400.0,9400.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_12_circuit,dj,12,circuit,0.017960515021459317,0.02027573700606661,0.020556074766355178,0.46499999999999997,0.46499999999999997,10700.0,10700.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_13_circuit,dj,13,circuit,0.01885210970464145,0.02073261648745538,0.021122222222222403,0.45999999999999996,0.45999999999999996,10800.0,10800.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_14_circuit,dj,14,circuit,0.01951717791411046,0.021417846931622773,0.021633240223463798,0.3425,0.3425,13150.0,13150.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_15_circuit,dj,15,circuit,0.01456470588235318,0.01900134176939034,0.019392696629213637,0.18500000000000005,0.18500000000000005,16300.0,16300.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_4_circuit,dj,4,circuit,0.005542857142857107,0.008141298701298684,0.008485714285714268,0.9125,0.9125,1750.0,1750.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_5_circuit,dj,5,circuit,0.007723255813953512,0.011129020979020994,0.011469230769230792,0.8925,0.8925,2150.0,2150.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_6_circuit,dj,6,circuit,0.010132352941176493,0.014538805970149242,0.015298507462686557,0.8325,0.8325,3350.0,3350.0,5
b50_lb10_k5_eps0p005,aggregate_only_sync,confidence,1,dj_7_circuit,dj,7,circuit,0.010725252525252492,0.017927817342955146,0.01953734177215187,0.8025,0.8025,3950.0,3950.0,5
