split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p10,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk_q95,train_selection_risk_max,selected_config_id,selection_relaxed,selection_target_tvd,selection_risk_stat,selection_objective,selection_risk_value
stratified_size_rep001,stratified_size,1,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,shot_proportional,300,60,5,0.018149625835512936,0.022483084154269813,0.034625299417100144,0.04983861200428687,0.2633333333333333,1.0,1.0,0.61,0.09968749999999998,0.61,19075.0,7800.0,0.034625299417100144,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.034625299417100144
stratified_size_rep001,stratified_size,1,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,uniform,300,60,5,0.018149625835512936,0.022483084154269813,0.034625299417100144,0.04983861200428687,0.2633333333333333,1.0,1.0,0.61,0.09968749999999998,0.61,19075.0,7800.0,0.034625299417100144,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.034625299417100144
stratified_size_rep001,stratified_size,1,b50_lb1_k10_eps0p0025,local_only_offline_aggregate,confidence,300,60,5,0.010697608274320397,0.017316889349361937,0.027365405468024944,0.04586428571428544,0.4633333333333333,1.0,1.0,0.4309375,0.03343750000000001,0.39249999999999996,24587.5,12150.0,0.027365405468024944,0.04586428571428544,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.027365405468024944
stratified_size_rep001,stratified_size,1,b50_lb1_k10_eps0p0025,local_only_offline_aggregate,shot_proportional,300,60,5,0.01069571849645782,0.01769948790689327,0.02799577180498873,0.04586428571428544,0.4666666666666667,1.0,1.0,0.4309375,0.03343750000000001,0.39249999999999996,24587.5,12150.0,0.02799577180498873,0.04586428571428544,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.02799577180498873
stratified_size_rep001,stratified_size,1,b50_lb1_k10_eps0p0025,local_only_offline_aggregate,uniform,300,60,5,0.010650986987276189,0.017539167640785856,0.027369148706999413,0.04586428571428544,0.4666666666666667,1.0,1.0,0.4309375,0.03343750000000001,0.39249999999999996,24587.5,12150.0,0.027369148706999413,0.04586428571428544,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.027369148706999413
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,aggregate_only_sync,confidence,300,60,5,0.018958088625945863,0.02345986743731307,0.04021601503759346,0.04983861200428687,0.19333333333333333,1.0,1.0,0.670625,0.20281249999999998,0.670625,17375.0,6587.5,0.04021601503759346,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.04021601503759346
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,aggregate_only_sync,shot_proportional,300,60,5,0.018958088625945863,0.02345986743731307,0.04021601503759346,0.04983861200428687,0.19333333333333333,1.0,1.0,0.670625,0.20281249999999998,0.670625,17375.0,6587.5,0.04021601503759346,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.04021601503759346
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,aggregate_only_sync,uniform,300,60,5,0.018958088625945863,0.02345986743731307,0.04021601503759346,0.04983861200428687,0.19333333333333333,1.0,1.0,0.670625,0.20281249999999998,0.670625,17375.0,6587.5,0.04021601503759346,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.04021601503759346
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,confidence,300,60,5,0.018596432648401776,0.02303718184673342,0.03987272211369779,0.048603840149912675,0.20666666666666667,1.0,1.0,0.670625,0.20281249999999998,0.670625,17375.0,6587.5,0.03987272211369779,0.048603840149912675,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.03987272211369779
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,shot_proportional,300,60,5,0.018958088625945863,0.023515008361203998,0.0403783469282786,0.04983861200428687,0.19333333333333333,1.0,1.0,0.670625,0.20281249999999998,0.670625,17375.0,6587.5,0.0403783469282786,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.0403783469282786
