policy,scheme,repetitions,median_test_median_tvd,q75_test_median_tvd,median_test_q95_tvd,median_test_max_tvd,median_test_valid_rate_tvd_le_0p05,median_test_median_ssr,median_test_median_parallel_ssr,relaxed_selection_rate
aggregate_only_sync,confidence,100,0.0,0.003472097866936676,0.009585252298837544,0.010529752066115712,1.0,0.0,0.0,0.0
aggregate_only_sync,shot_proportional,100,0.0,0.003472097866936676,0.009585252298837544,0.010529752066115712,1.0,0.0,0.0,0.0
aggregate_only_sync,uniform,100,0.0,0.003472097866936676,0.009585252298837544,0.010529752066115712,1.0,0.0,0.0,0.0
hierarchical_local_aggregate,confidence,100,0.0,0.003656241847710336,0.009322435806920862,0.010529752066115712,1.0,0.0,0.0,0.0
hierarchical_local_aggregate,shot_proportional,100,0.0,0.0037158408453070316,0.009815801188348027,0.010529752066115712,1.0,0.0,0.0,0.0
hierarchical_local_aggregate,uniform,100,0.0,0.0037158408453070316,0.009813216845132542,0.010529752066115712,1.0,0.0,0.0,0.0
local_only_offline_aggregate,confidence,100,0.0,0.0,0.005999835581619487,0.008721052631578926,1.0,0.0,0.0,0.0
local_only_offline_aggregate,shot_proportional,100,0.0,0.0,0.005933868733943786,0.008721052631578926,1.0,0.0,0.0,0.0
local_only_offline_aggregate,uniform,100,0.0,0.0,0.005962679833923336,0.008721052631578926,1.0,0.0,0.0,0.0
