policy,scheme,repetitions,median_test_median_tvd,q75_test_median_tvd,median_test_q95_tvd,median_test_max_tvd,median_test_valid_rate_tvd_le_0p05,median_test_median_ssr,median_test_median_parallel_ssr,relaxed_selection_rate
aggregate_only_sync,confidence,100,0.006337429760778875,0.009444202201110505,0.01584281043046353,0.016540270270270413,1.0,0.28531249999999997,0.28531249999999997,0.0
aggregate_only_sync,shot_proportional,100,0.006337429760778875,0.009444202201110505,0.01584281043046353,0.016540270270270413,1.0,0.28531249999999997,0.28531249999999997,0.0
aggregate_only_sync,uniform,100,0.006337429760778875,0.009444202201110505,0.01584281043046353,0.016540270270270413,1.0,0.28531249999999997,0.28531249999999997,0.0
hierarchical_local_aggregate,confidence,100,0.006193988218023835,0.009384838883273062,0.015347405671837762,0.016182283096061522,1.0,0.28531249999999997,0.28531249999999997,0.0
hierarchical_local_aggregate,shot_proportional,100,0.006023418656142779,0.009411670699003128,0.01596764758955006,0.01737897676192847,1.0,0.28531249999999997,0.28531249999999997,0.0
hierarchical_local_aggregate,uniform,100,0.005972824464304794,0.00939428166019226,0.015940565129599345,0.017350000000000088,1.0,0.28531249999999997,0.28531249999999997,0.0
local_only_offline_aggregate,confidence,100,0.0014384982209251784,0.0047087535203278,0.01243302715652612,0.015887626479665594,1.0,0.05249999999999999,0.0,0.0
local_only_offline_aggregate,shot_proportional,100,0.0014977459016393695,0.0042294151884780685,0.012448571530738656,0.015887626479665594,1.0,0.05249999999999999,0.0,0.0
local_only_offline_aggregate,uniform,100,0.0015923549683031408,0.004551255917575893,0.012451256968550867,0.015887626479665594,1.0,0.05249999999999999,0.0,0.0
