policy,scheme,repetitions,median_test_median_tvd,q75_test_median_tvd,median_test_q95_tvd,median_test_max_tvd,median_test_valid_rate_tvd_le_0p05,median_test_median_ssr,median_test_median_parallel_ssr,relaxed_selection_rate
aggregate_only_sync,confidence,100,0.02119449009732099,0.02220789614152813,0.03516307420753516,0.0420499999999994,1.0,0.71625,0.71625,0.0
aggregate_only_sync,shot_proportional,100,0.02119449009732099,0.02220789614152813,0.03516307420753516,0.0420499999999994,1.0,0.71625,0.71625,0.0
aggregate_only_sync,uniform,100,0.02119449009732099,0.02220789614152813,0.03516307420753516,0.0420499999999994,1.0,0.71625,0.71625,0.0
hierarchical_local_aggregate,confidence,100,0.020797668922836895,0.021529859012965183,0.0347796725268613,0.041713802610722814,1.0,0.71875,0.71875,0.0
hierarchical_local_aggregate,shot_proportional,100,0.021232991869241873,0.022239592218928062,0.03559033030702728,0.0420499999999994,1.0,0.71875,0.71875,0.0
hierarchical_local_aggregate,uniform,100,0.021232991869241873,0.022239592218928062,0.03552606210894087,0.0420499999999994,1.0,0.71875,0.71875,0.0
local_only_offline_aggregate,confidence,100,0.01266014999566785,0.014594319461062339,0.02841571550421581,0.039217088607594576,1.0,0.5643229166666667,0.5225,0.0
local_only_offline_aggregate,shot_proportional,100,0.012508653073326813,0.01448489486231136,0.02922884004969664,0.039217088607594576,1.0,0.5643229166666667,0.5225,0.0
local_only_offline_aggregate,uniform,100,0.012632603671809238,0.014539715816570476,0.0285137282455434,0.039217088607594576,1.0,0.5643229166666667,0.5225,0.0
