strategy,strategy_family,config_id,batch_size,lookback_batches,stability,epsilon,traces,success_rate,median_shots,mean_shots,p95_shots,max_shots,median_tvd,mean_tvd,p95_tvd,max_tvd,stable_stop_rate,max_budget_rate
stable_shots_b100_lb2_k1_eps0p005,stable_shots,b100_lb2_k1_eps0p005,100.0,2.0,1.0,0.005,180,1.0,7650.0,10596.666666666666,20000.0,20000.0,0.017952777777777748,0.01572853579611792,0.03553097336065563,0.0457260869565217,0.6944444444444444,0.3055555555555556
stable_shots_b100_lb2_k1_eps0p0025,stable_shots,b100_lb2_k1_eps0p0025,100.0,2.0,1.0,0.0025,180,1.0,14300.0,13059.444444444445,20000.0,20000.0,0.0091680402930402,0.008328949883304529,0.021889013505578366,0.0248989247311828,0.5666666666666667,0.43333333333333335
stable_shots_b100_lb2_k1_eps0p001,stable_shots,b100_lb2_k1_eps0p001,100.0,2.0,1.0,0.001,180,1.0,20000.0,16666.666666666668,20000.0,20000.0,0.0,0.0021502748378161014,0.007633707553707572,0.0137499999999999,0.34444444444444444,0.6555555555555556
stable_shots_b100_lb2_k2_eps0p005,stable_shots,b100_lb2_k2_eps0p005,100.0,2.0,2.0,0.005,180,1.0,8400.0,10947.777777777777,20000.0,20000.0,0.01551519607843135,0.014480220053509848,0.0336051515151514,0.0454032258064516,0.6777777777777778,0.32222222222222224
stable_shots_b100_lb2_k2_eps0p0025,stable_shots,b100_lb2_k2_eps0p0025,100.0,2.0,2.0,0.0025,180,1.0,16300.0,13704.444444444445,20000.0,20000.0,0.00742009803921565,0.007104031107362086,0.018997408814589608,0.0233224489795918,0.5611111111111111,0.4388888888888889
stable_shots_b100_lb2_k2_eps0p001,stable_shots,b100_lb2_k2_eps0p001,100.0,2.0,2.0,0.001,180,1.0,20000.0,17304.444444444445,20000.0,20000.0,0.0,0.0015537120382581023,0.006267525575447552,0.0099818181818181,0.32222222222222224,0.6777777777777778
stable_shots_b100_lb2_k3_eps0p005,stable_shots,b100_lb2_k3_eps0p005,100.0,2.0,3.0,0.005,180,1.0,8750.0,11190.0,20000.0,20000.0,0.014876851851851801,0.013667425084410732,0.032852623520329305,0.0443606382978723,0.6777777777777778,0.32222222222222224
stable_shots_b100_lb2_k3_eps0p0025,stable_shots,b100_lb2_k3_eps0p0025,100.0,2.0,3.0,0.0025,180,1.0,17400.0,14041.666666666666,20000.0,20000.0,0.0066032051282051,0.00644738422054765,0.017837449801054887,0.0215428571428571,0.5611111111111111,0.4388888888888889
stable_shots_b100_lb2_k3_eps0p001,stable_shots,b100_lb2_k3_eps0p001,100.0,2.0,3.0,0.001,180,1.0,20000.0,17627.222222222223,20000.0,20000.0,0.0,0.0012552905698659284,0.005681089743589717,0.0080299999999999,0.28888888888888886,0.7111111111111111
stable_shots_b100_lb2_k5_eps0p005,stable_shots,b100_lb2_k5_eps0p005,100.0,2.0,5.0,0.005,180,1.0,9250.0,11547.777777777777,20000.0,20000.0,0.013178021978021901,0.012555771843747397,0.028834098360655626,0.0394655913978494,0.6777777777777778,0.32222222222222224
stable_shots_b100_lb2_k5_eps0p0025,stable_shots,b100_lb2_k5_eps0p0025,100.0,2.0,5.0,0.0025,180,1.0,17800.0,14517.777777777777,20000.0,20000.0,0.0052205882352941,0.005706387042750315,0.015783199279711918,0.0195584158415841,0.5555555555555556,0.4444444444444444
stable_shots_b100_lb2_k5_eps0p001,stable_shots,b100_lb2_k5_eps0p001,100.0,2.0,5.0,0.001,180,1.0,20000.0,18021.11111111111,20000.0,20000.0,0.0,0.0009438898393375311,0.004499974457215801,0.008255905511811,0.25,0.75
stable_shots_b100_lb2_k10_eps0p005,stable_shots,b100_lb2_k10_eps0p005,100.0,2.0,10.0,0.005,180,1.0,10150.0,12073.333333333334,20000.0,20000.0,0.00976590909090905,0.011100209979675394,0.028026018518518447,0.0340499999999999,0.6555555555555556,0.34444444444444444
stable_shots_b100_lb2_k10_eps0p0025,stable_shots,b100_lb2_k10_eps0p0025,100.0,2.0,10.0,0.0025,180,1.0,19250.0,15197.777777777777,20000.0,20000.0,0.00274110942249235,0.004614059589312821,0.013682255667038259,0.0173813559322033,0.5111111111111111,0.4888888888888889
stable_shots_b100_lb2_k10_eps0p001,stable_shots,b100_lb2_k10_eps0p001,100.0,2.0,10.0,0.001,180,1.0,20000.0,18457.222222222223,20000.0,20000.0,0.0,0.0006313975335967157,0.003762361949956832,0.0065252136752136,0.2222222222222222,0.7777777777777778
stable_shots_b100_lb3_k1_eps0p005,stable_shots,b100_lb3_k1_eps0p005,100.0,3.0,1.0,0.005,180,1.0,9500.0,11521.111111111111,20000.0,20000.0,0.01299411764705875,0.012254449062876269,0.02987613984674327,0.0334088785046729,0.6333333333333333,0.36666666666666664
stable_shots_b100_lb3_k1_eps0p0025,stable_shots,b100_lb3_k1_eps0p0025,100.0,3.0,1.0,0.0025,180,1.0,18800.0,14286.666666666666,20000.0,20000.0,0.0050205497382198,0.005912433380204926,0.015904999999999996,0.0189363636363636,0.5333333333333333,0.4666666666666667
stable_shots_b100_lb3_k1_eps0p001,stable_shots,b100_lb3_k1_eps0p001,100.0,3.0,1.0,0.001,180,1.0,20000.0,17385.555555555555,20000.0,20000.0,0.0,0.0014157735485238552,0.006744001937984429,0.0094801801801801,0.28888888888888886,0.7111111111111111
stable_shots_b100_lb3_k2_eps0p005,stable_shots,b100_lb3_k2_eps0p005,100.0,3.0,2.0,0.005,180,1.0,10050.0,11826.111111111111,20000.0,20000.0,0.0113762096774193,0.011213992103419761,0.0285595509654243,0.0328185185185185,0.6111111111111112,0.3888888888888889
