config_id,policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_q95_tvd,circuit_max_tvd,circuit_median_ssr,circuit_median_parallel_ssr,circuit_median_total_shots,circuit_median_max_backend_shots,subset_rows
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_10_circuit,dj,10,circuit,0.012165060240963883,0.014353616557734242,0.014548148148148199,0.45999999999999996,0.45999999999999996,10800.0,10800.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_11_circuit,dj,11,circuit,0.010650000000000003,0.012534273377744869,0.012695238095238074,0.35,0.35,13000.0,13000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_12_circuit,dj,12,circuit,0.008624011299435028,0.011832055421486267,0.011895081967213146,0.15000000000000002,0.15000000000000002,17000.0,17000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_13_circuit,dj,13,circuit,0.01051138211382118,0.01141662399195956,0.011557993730407464,0.2025,0.2025,15950.0,15950.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_14_circuit,dj,14,circuit,0.009750000000000007,0.01217334040296929,0.01222826086956529,0.18000000000000005,0.18000000000000005,16400.0,16400.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_15_circuit,dj,15,circuit,0.0,0.012474395545561704,0.012871024734982417,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_4_circuit,dj,4,circuit,0.005885714285714283,0.007329168356997983,0.00757352941176472,0.9125,0.9125,1750.0,1750.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_5_circuit,dj,5,circuit,0.005604081632653045,0.006296470588235298,0.0063000000000000035,0.83,0.83,3400.0,3400.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_6_circuit,dj,6,circuit,0.0071999999999999694,0.01094607476635514,0.01157009345794393,0.7324999999999999,0.7324999999999999,5350.0,5350.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_7_circuit,dj,7,circuit,0.009161077844311345,0.011380695670673334,0.01145696202531645,0.7025,0.7025,5950.0,5950.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_8_circuit,dj,8,circuit,0.009313567839195963,0.011932984235475692,0.012491489361702128,0.53,0.53,9400.0,9400.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,dj_9_circuit,dj,9,circuit,0.011345804195804216,0.014373350537207499,0.014373560209424058,0.5225,0.5225,9550.0,9550.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_10_circuit,qaoa,10,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_11_circuit,qaoa,11,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_12_circuit,qaoa,12,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_13_circuit,qaoa,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_14_circuit,qaoa,14,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_15_circuit,qaoa,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_4_circuit,qaoa,4,circuit,0.007499999999999975,0.00922146686522711,0.009561392405063292,0.6525000000000001,0.6525000000000001,6950.0,6950.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_5_circuit,qaoa,5,circuit,0.006915624999999996,0.0091109722535529,0.00931048951048951,0.28500000000000003,0.28500000000000003,14300.0,14300.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_6_circuit,qaoa,6,circuit,0.0,0.0015853807106598987,0.001981725888324874,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_7_circuit,qaoa,7,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_8_circuit,qaoa,8,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qaoa_9_circuit,qaoa,9,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_10_circuit,qft,10,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_11_circuit,qft,11,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_12_circuit,qft,12,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_13_circuit,qft,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_14_circuit,qft,14,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_15_circuit,qft,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_4_circuit,qft,4,circuit,0.010150414937759353,0.010849354766438897,0.010887168141592928,0.39749999999999996,0.39749999999999996,12050.0,12050.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_5_circuit,qft,5,circuit,0.005992857142857137,0.0062009532834265205,0.006236885245901647,0.08499999999999996,0.08499999999999996,18300.0,18300.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_6_circuit,qft,6,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_7_circuit,qft,7,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_8_circuit,qft,8,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qft_9_circuit,qft,9,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_10_circuit,qnn,10,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_11_circuit,qnn,11,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_12_circuit,qnn,12,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_13_circuit,qnn,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_14_circuit,qnn,14,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_15_circuit,qnn,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_4_circuit,qnn,4,circuit,0.0072514018691588805,0.010667914614121497,0.01096822660098521,0.4625,0.4625,10750.0,10750.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_5_circuit,qnn,5,circuit,0.00427608695652174,0.0054654171304080075,0.00565057306590257,0.07999999999999996,0.07999999999999996,18400.0,18400.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_6_circuit,qnn,6,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_7_circuit,qnn,7,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_8_circuit,qnn,8,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,qnn_9_circuit,qnn,9,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_10_circuit,random,10,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_11_circuit,random,11,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_12_circuit,random,12,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_13_circuit,random,13,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_14_circuit,random,14,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_15_circuit,random,15,circuit,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_4_circuit,random,4,circuit,0.006541784037558657,0.010530143046039168,0.011162146892655352,0.5575,0.5575,8850.0,8850.0,5
b50_lb2_k2_eps0p001,aggregate_only_sync,confidence,1,random_5_circuit,random,5,circuit,0.006777272727272707,0.009210134826050338,0.009414957264957287,0.29000000000000004,0.29000000000000004,14200.0,14200.0,5
