method,bound_tau,bound_delta,bound,group_mode,calibration,test_eval_count,unique_test_traces,success_rate_all,median_shots,mean_shots,median_tvd,mean_tvd,max_tvd,stop_rate,reference_cap_rate,uncovered_rate,above_regular_budget_requested_rate,le_0p01_rate,le_0p05_rate,le_0p1_rate
scaled_bound,0.05,0.05,hoeffding,global,median,3600,180,0.7491666666666666,10500.0,10500.0,0.00319999999999995,0.03668341666666665,0.2099,0.5,0.5,0.0,0.5,0.5422222222222223,0.7491666666666666,0.8827777777777778
scaled_bound,0.05,0.05,hoeffding,global,p75,3600,180,0.9247222222222222,20000.0,13916.666666666666,0.0,0.011138291666666654,0.07015,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.7194444444444444,0.9247222222222222,1.0
scaled_bound,0.05,0.05,hoeffding,global,p90,3600,180,0.9769444444444444,20000.0,16833.333333333332,0.0,0.005022916666666661,0.07015,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.8697222222222222,0.9769444444444444,1.0
scaled_bound,0.05,0.05,hoeffding,size,median,3600,180,0.8877777777777778,12500.0,11416.666666666666,0.01195,0.021562981481481454,0.07015,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.46444444444444444,0.8877777777777778,1.0
scaled_bound,0.05,0.05,hoeffding,size,p75,3600,180,0.9488888888888889,12500.0,12120.833333333334,0.0096,0.018196174382716035,0.07015,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5019444444444444,0.9488888888888889,1.0
scaled_bound,0.05,0.05,hoeffding,size,p90,3600,180,0.9922222222222222,14000.0,12548.333333333334,0.0085,0.015324890432098755,0.07015,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5305555555555556,0.9922222222222222,1.0
scaled_bound,0.05,0.05,hoeffding,size_algorithm,median,3600,180,0.9247222222222222,5000.0,8798.194444444445,0.0308999999999999,0.028106918209876527,0.0594499999999999,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.2088888888888889,0.9247222222222222,1.0
scaled_bound,0.05,0.05,hoeffding,size_algorithm,p75,3600,180,0.97,5000.0,9210.0,0.0286777777777779,0.025617695987654322,0.0594499999999999,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.2088888888888889,0.97,1.0
scaled_bound,0.05,0.05,hoeffding,size_algorithm,p90,3600,180,0.97,5000.0,9210.0,0.0286777777777779,0.025617695987654322,0.0594499999999999,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.2088888888888889,0.97,1.0
scaled_bound,0.05,0.05,weissman,global,median,3600,180,0.7238888888888889,10000.0,10333.333333333334,0.0183,0.02939468981481479,0.1033499999999999,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.43027777777777776,0.7238888888888889,0.9938888888888889
scaled_bound,0.05,0.05,weissman,global,p75,3600,180,0.9769444444444444,15000.0,12666.666666666666,0.00225,0.013934958333333315,0.07015,0.5,0.5,0.0,0.5,0.6183333333333333,0.9769444444444444,1.0
scaled_bound,0.05,0.05,weissman,global,p90,3600,180,1.0,17500.0,13750.0,0.00082499999999995,0.009659805555555536,0.04145,0.5,0.5,0.0,0.5,0.6672222222222223,1.0,1.0
scaled_bound,0.05,0.05,weissman,size,median,3600,180,0.9108333333333334,12500.0,11666.666666666666,0.0101666666666666,0.019388134259259233,0.06595,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.4905555555555556,0.9108333333333334,1.0
scaled_bound,0.05,0.05,weissman,size,p75,3600,180,0.9719444444444445,12500.0,12370.833333333334,0.0087499999999999,0.01602132716049381,0.06595,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5280555555555555,0.9719444444444445,1.0
scaled_bound,0.05,0.05,weissman,size,p90,3600,180,1.0,14000.0,12583.333333333334,0.0085,0.014983043209876534,0.0477499999999999,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5333333333333333,1.0,1.0
scaled_bound,0.05,0.05,weissman,size_algorithm,median,3600,180,0.9308333333333333,5000.0,9006.527777777777,0.02885,0.026541251543209864,0.0594499999999999,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.235,0.9308333333333333,1.0
scaled_bound,0.05,0.05,weissman,size_algorithm,p75,3600,180,0.9761111111111112,5000.0,9385.833333333334,0.02795,0.024448848765432102,0.0594499999999999,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.235,0.9761111111111112,1.0
scaled_bound,0.05,0.05,weissman,size_algorithm,p90,3600,180,0.9761111111111112,5000.0,9385.833333333334,0.02795,0.024448848765432102,0.0594499999999999,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.235,0.9761111111111112,1.0
