split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p10,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk_q95,train_selection_risk_max
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,aggregate_only_sync,confidence,300,60,5,0.028681343142803566,0.03394103020095523,0.05602563111545942,0.06967499999999627,0.09333333333333334,0.9333333333333333,1.0,0.7475,0.24,0.7475,13225.0,5050.0,0.05602563111545942,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.028681343142803566,0.03394103020095523,0.05602563111545942,0.06967499999999627,0.09333333333333334,0.9333333333333333,1.0,0.7475,0.24,0.7475,13225.0,5050.0,0.05602563111545942,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,aggregate_only_sync,uniform,300,60,5,0.028681343142803566,0.03394103020095523,0.05602563111545942,0.06967499999999627,0.09333333333333334,0.9333333333333333,1.0,0.7475,0.24,0.7475,13225.0,5050.0,0.05602563111545942,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.0285156102928031,0.03362113506593424,0.05602563111545942,0.06967499999999627,0.09333333333333334,0.9333333333333333,1.0,0.7475,0.24,0.7475,12975.0,5050.0,0.05602563111545942,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.028928678708454614,0.03403432545655225,0.05602563111545942,0.06967499999999627,0.09666666666666666,0.9333333333333333,1.0,0.7475,0.24,0.7475,12975.0,5050.0,0.05602563111545942,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.028724269468236314,0.03401442414076274,0.05602563111545942,0.06967499999999627,0.09666666666666666,0.9333333333333333,1.0,0.7475,0.24,0.7475,12975.0,5050.0,0.05602563111545942,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,local_only_offline_aggregate,confidence,300,60,5,0.01819658893698535,0.02646750062858338,0.043291287854343836,0.06967499999999627,0.14666666666666667,0.9733333333333334,1.0,0.56375,0.13153124999999996,0.55375,17625.0,8925.0,0.043291287854343836,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,local_only_offline_aggregate,shot_proportional,300,60,5,0.018099982142856873,0.026917805351307215,0.04310111111111095,0.06967499999999627,0.15,0.9733333333333334,1.0,0.56375,0.13153124999999996,0.55375,17625.0,8925.0,0.04310111111111095,0.06967499999999627
stratified_size_rep000,stratified_size,0,b50_lb2_k2_eps0p005,local_only_offline_aggregate,uniform,300,60,5,0.018251341125042706,0.026472676363979812,0.04330054066425608,0.06967499999999627,0.14666666666666667,0.9733333333333334,1.0,0.56375,0.13153124999999996,0.55375,17625.0,8925.0,0.04330054066425608,0.06967499999999627
stratified_size_rep001,stratified_size,1,b50_lb2_k2_eps0p005,aggregate_only_sync,confidence,300,60,5,0.028733885850990654,0.03344012437519504,0.04836995113037566,0.06967499999999627,0.09666666666666666,0.9533333333333334,1.0,0.755,0.22156250000000002,0.755,13100.0,4900.0,0.04836995113037566,0.06967499999999627
