size,strategy,trace_count,original_success_rate,mean_boot_p_success_independent_ref,median_boot_ci97p5_tvd_independent_ref,median_reference_floor_mean_tvd,median_reference_floor_ci97p5_tvd
4,Fixed-10k,30,1.0,1.0,0.020403750000000002,0.009748550000000002,0.015988125000000016
4,Fixed-18k,30,1.0,1.0,0.016855624999999985,0.009748550000000002,0.015988125000000016
4,Fixed-5k,30,1.0,1.0,0.025652499999999984,0.009748550000000002,0.015988125000000016
4,StableShots,30,1.0,1.0,0.031805650252525235,0.009748550000000002,0.015988125000000016
5,Fixed-10k,30,1.0,1.0,0.028527500000000004,0.017051499999999997,0.023328749999999995
5,Fixed-18k,30,1.0,1.0,0.023466319444444442,0.017051499999999997,0.023328749999999995
5,Fixed-5k,30,1.0,0.9995999999999999,0.036706249999999996,0.017051499999999997,0.023328749999999995
5,StableShots,30,1.0,1.0,0.03669300245098038,0.017051499999999997,0.023328749999999995
6,Fixed-10k,30,1.0,0.9996666666666667,0.0388825,0.02545915,0.031226250000000004
6,Fixed-18k,30,1.0,1.0,0.032011180555555546,0.02545915,0.031226250000000004
6,Fixed-5k,30,1.0,0.8652,0.050312499999999996,0.02545915,0.031226250000000004
6,StableShots,30,1.0,0.9943333333333334,0.0443385197368421,0.02545915,0.031226250000000004
7,Fixed-10k,30,1.0,0.6243333333333332,0.05321562499999999,0.0372763,0.043189375
7,Fixed-18k,30,1.0,0.9678666666666665,0.044642638888888884,0.0372763,0.043189375
7,Fixed-5k,30,0.6,0.3535333333333333,0.06847999999999999,0.0372763,0.043189375
7,StableShots,30,1.0,0.6826666666666666,0.0538180122180451,0.0372763,0.043189375
8,Fixed-10k,30,1.0,0.39053333333333334,0.06695124999999999,0.04873355,0.0548575
8,Fixed-18k,30,1.0,0.49500000000000005,0.05604326388888888,0.04873355,0.0548575
8,Fixed-5k,30,0.36666666666666664,0.33399999999999996,0.08723937500000001,0.04873355,0.0548575
8,StableShots,30,1.0,0.3764,0.06433390710382514,0.04873355,0.0548575
9,Fixed-10k,30,0.5,0.3333333333333333,0.095191875,0.0713839,0.07711437499999999
9,Fixed-18k,30,1.0,0.3419333333333333,0.07965861111111111,0.0713839,0.07711437499999999
9,Fixed-5k,30,0.3333333333333333,0.33326666666666666,0.12191437499999999,0.0713839,0.07711437499999999
9,StableShots,30,1.0,0.3332666666666667,0.0820758005971687,0.0713839,0.07711437499999999
10,Fixed-10k,30,0.3333333333333333,0.3333333333333333,0.13116937499999998,0.10148104999999999,0.10745125
10,Fixed-18k,30,1.0,0.3333333333333333,0.11141041666666666,0.10148104999999999,0.10745125
10,Fixed-5k,30,0.3333333333333333,0.333,0.16905125000000001,0.10148104999999999,0.10745125
10,StableShots,30,1.0,0.33140000000000003,0.10918253511235954,0.10148104999999999,0.10745125
11,Fixed-10k,30,0.3333333333333333,0.3333333333333333,0.16972625,0.13259235,0.138863125
11,Fixed-18k,30,1.0,0.3333333333333333,0.14342583333333334,0.13259235,0.138863125
11,Fixed-5k,30,0.3333333333333333,0.33166666666666667,0.218805,0.13259235,0.138863125
11,StableShots,30,1.0,0.3316,0.13980736930294907,0.13259235,0.138863125
12,Fixed-10k,30,0.3333333333333333,0.3333333333333333,0.22226437500000001,0.1758909,0.18172500000000003
12,Fixed-18k,30,0.5,0.3333333333333333,0.18842041666666667,0.1758909,0.18172500000000003
12,Fixed-5k,30,0.3333333333333333,0.31626666666666664,0.286018125,0.1758909,0.18172500000000003
12,StableShots,30,1.0,0.3264666666666667,0.18210375,0.1758909,0.18172500000000003
13,Fixed-10k,30,0.3333333333333333,0.28840000000000005,0.29375375,0.23356190000000002,0.23953937500000003
13,Fixed-18k,30,0.5,0.33260000000000006,0.2488079861111111,0.23356190000000002,0.23953937500000003
13,Fixed-5k,30,0.26666666666666666,0.21273333333333336,0.376866875,0.23356190000000002,0.23953937500000003
13,StableShots,30,1.0,0.2336,0.23945374999999997,0.23356190000000002,0.23953937500000003
14,Fixed-10k,30,0.3333333333333333,0.22060000000000002,0.3535275,0.28321525000000003,0.28890125
14,Fixed-18k,30,0.5,0.2435333333333333,0.3004175694444444,0.28321525000000003,0.28890125
14,Fixed-5k,30,0.2,0.1236,0.44965374999999996,0.28321525000000003,0.28890125
14,StableShots,30,1.0,0.14893333333333333,0.289490625,0.28321525000000003,0.28890125
15,Fixed-10k,30,0.3333333333333333,0.14993333333333334,0.4181131250000001,0.33592180000000005,0.34198937500000004
15,Fixed-18k,30,0.4,0.2143333333333333,0.3556761111111111,0.33592180000000005,0.34198937500000004
15,Fixed-5k,30,0.1,0.09413333333333333,0.526455,0.33592180000000005,0.34198937500000004
15,StableShots,30,1.0,0.10326666666666667,0.34195125000000004,0.33592180000000005,0.34198937500000004
