trace_id,algorithm,size,backend,strategy,strategy_family,shots,target_tvd,original_tvd_to_reference,original_success,boot_mean_tvd_independent_ref,boot_ci2p5_tvd_independent_ref,boot_ci50_tvd_independent_ref,boot_ci97p5_tvd_independent_ref,boot_p_success_independent_ref,boot_mean_tvd_to_phat,boot_ci97p5_tvd_to_phat,floor_mean_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qaoa_15_fake_kyiv,qaoa,15,fake_kyiv,StableShots,stable_shots,20000,0.05,0.0,True,0.25896199999999997,0.2528975,0.259125,0.2646525,0.0,0.1821289,0.18592625000000002,0.2589571,0.26532874999999995
qaoa_15_fake_marrakesh,qaoa,15,fake_marrakesh,Fixed-5k,fixed,5000,0.05,0.24849999999998917,False,0.2896495,0.28072125,0.2894,0.29880249999999997,0.0,0.2722804,0.2805525,0.1861775,0.19215
qaoa_15_fake_marrakesh,qaoa,15,fake_marrakesh,Fixed-10k,fixed,10000,0.05,0.1437999999999924,False,0.2281429,0.22142375,0.22820000000000001,0.235005,0.0,0.1952766,0.20130499999999998,0.1861775,0.19215
qaoa_15_fake_marrakesh,qaoa,15,fake_marrakesh,Fixed-18k,fixed,18000,0.05,0.04167777777777663,True,0.1931189222222222,0.1873951388888889,0.19318333333333332,0.19885944444444445,0.0,0.14198444444444444,0.1465672222222222,0.1861775,0.19215
qaoa_15_fake_marrakesh,qaoa,15,fake_marrakesh,StableShots,stable_shots,20000,0.05,0.0,True,0.18640469999999998,0.18107125,0.18635,0.19217625,0.0,0.1311514,0.1355,0.1861775,0.19215
qaoa_15_fake_sherbrooke,qaoa,15,fake_sherbrooke,Fixed-5k,fixed,5000,0.05,0.3264999999999813,False,0.37650150000000004,0.3679,0.37605,0.38622874999999995,0.0,0.356199,0.363905,0.24218650000000003,0.248155
qaoa_15_fake_sherbrooke,qaoa,15,fake_sherbrooke,Fixed-10k,fixed,10000,0.05,0.18954999999998745,False,0.2965192,0.29017375,0.29645,0.3034,0.0,0.254944,0.26067875,0.24218650000000003,0.248155
qaoa_15_fake_sherbrooke,qaoa,15,fake_sherbrooke,Fixed-18k,fixed,18000,0.05,0.0533222222222183,False,0.25162877777777776,0.24575694444444446,0.2516861111111111,0.2582808333333333,0.0,0.18533722222222224,0.18966222222222223,0.24218650000000003,0.248155
qaoa_15_fake_sherbrooke,qaoa,15,fake_sherbrooke,StableShots,stable_shots,20000,0.05,0.0,True,0.2423884,0.23654999999999998,0.242325,0.24831250000000002,0.0,0.17052240000000002,0.17523375,0.24218650000000003,0.248155
qaoa_15_fake_torino,qaoa,15,fake_torino,Fixed-5k,fixed,5000,0.05,0.307849999999983,False,0.36022160000000003,0.35042125,0.36019999999999996,0.36995500000000003,0.0,0.3408659,0.34840000000000004,0.231501,0.23727875
qaoa_15_fake_torino,qaoa,15,fake_torino,Fixed-10k,fixed,10000,0.05,0.18394999999998818,False,0.2835309,0.276795,0.283325,0.291055,0.0,0.24355820000000003,0.24905000000000002,0.231501,0.23727875
qaoa_15_fake_torino,qaoa,15,fake_torino,Fixed-18k,fixed,18000,0.05,0.05107777777777451,False,0.24043376666666666,0.23449097222222223,0.2404638888888889,0.24661541666666667,0.0,0.17708128888888888,0.18141888888888888,0.231501,0.23727875
qaoa_15_fake_torino,qaoa,15,fake_torino,StableShots,stable_shots,20000,0.05,0.0,True,0.23175050000000003,0.22546625,0.231775,0.2381025,0.0,0.1629894,0.16685,0.231501,0.23727875
qaoa_4_fake_fez,qaoa,4,fake_fez,Fixed-5k,fixed,5000,0.05,0.007399999999999977,True,0.013222099999999997,0.006849999999999992,0.012550000000000016,0.02407875,1.0,0.0118431,0.02216499999999998,0.0083795,0.015026249999999993
qaoa_4_fake_fez,qaoa,4,fake_fez,Fixed-10k,fixed,10000,0.05,0.006499999999999973,True,0.010316899999999999,0.005149999999999999,0.0096,0.018850000000000016,1.0,0.008246700000000001,0.014228750000000005,0.0083795,0.015026249999999993
qaoa_4_fake_fez,qaoa,4,fake_fez,Fixed-18k,fixed,18000,0.05,0.001950000000000004,True,0.008723300000000002,0.004484583333333336,0.008086111111111134,0.016186666666666644,1.0,0.006484166666666668,0.012286527777777775,0.0083795,0.015026249999999993
qaoa_4_fake_fez,qaoa,4,fake_fez,StableShots,stable_shots,2750,0.05,0.013772727272727266,True,0.017751663636363636,0.008872272727272708,0.016609090909090914,0.03174727272727272,1.0,0.016422190909090906,0.030089886363636353,0.0083795,0.015026249999999993
qaoa_4_fake_kyiv,qaoa,4,fake_kyiv,Fixed-5k,fixed,5000,0.05,0.009700000000000021,True,0.0156034,0.009144999999999995,0.0148,0.026346250000000005,1.0,0.013914200000000002,0.02312875,0.0099888,0.016549999999999978
qaoa_4_fake_kyiv,qaoa,4,fake_kyiv,Fixed-10k,fixed,10000,0.05,0.00474999999999999,True,0.012245200000000001,0.006421250000000001,0.011800000000000015,0.020402499999999983,1.0,0.010144400000000001,0.017807500000000004,0.0099888,0.016549999999999978
qaoa_4_fake_kyiv,qaoa,4,fake_kyiv,Fixed-18k,fixed,18000,0.05,0.002194444444444432,True,0.010219722222222224,0.005391249999999997,0.009811111111111118,0.017637361111111097,1.0,0.00736748888888889,0.012107777777777778,0.0099888,0.016549999999999978
qaoa_4_fake_kyiv,qaoa,4,fake_kyiv,StableShots,stable_shots,3350,0.05,0.01540223880597014,True,0.018932637313432834,0.010238190298507477,0.0179410447761194,0.03171964552238807,1.0,0.017455585074626866,0.029523843283582093,0.0099888,0.016549999999999978
