strategy,trace_count,target_tvd,median_shots,mean_shots,original_success_rate,boot_mean_success_rate,boot_ci2p5_success_rate,boot_ci50_success_rate,boot_ci97p5_success_rate,boot_mean_of_mean_tvd,boot_ci2p5_mean_tvd,boot_ci97p5_mean_tvd
Fixed-10k,360,0.05,10000.0,10000.0,0.625,0.5005666666666667,0.4888888888888889,0.5,0.5125694444444443,0.12382225722222222,0.1234947847222223,0.12415644097222217
Fixed-18k,360,0.05,18000.0,18000.0,0.825,0.5496055555555556,0.5416666666666666,0.55,0.5583333333333333,0.10486205135802469,0.10459750154320992,0.10517505632716047
Fixed-5k,360,0.05,5000.0,5000.0,0.4888888888888889,0.4414166666666667,0.42777777777777776,0.44166666666666665,0.4527777777777778,0.1583346188888889,0.15792116319444446,0.15875966319444434
StableShots,360,0.05,9075.0,11103.888888888889,1.0,0.4884944444444444,0.475,0.4888888888888889,0.5014583333333332,0.10786724668479726,0.10748283715734586,0.10826332295771157
